key,value,date
90S.24S,-13,1919
90S.24S,-30,1920
90S.24S,-35,1921
90S.24S,-25,1922
90S.24S,-28,1923
90S.24S,-47,1924
90S.24S,-36,1925
90S.24S,-38,1926
90S.24S,-37,1927
90S.24S,-46,1928
90S.24S,-48,1929
90S.24S,-38,1930
90S.24S,-38,1931
90S.24S,-38,1932
90S.24S,-33,1933
90S.24S,-28,1934
90S.24S,-33,1935
90S.24S,-27,1936
90S.24S,-18,1937
90S.24S,-10,1938
90S.24S,-9,1939
90S.24S,-7,1940
90S.24S,-6,1941
90S.24S,1,1942
90S.24S,9,1943
90S.24S,18,1944
90S.24S,3,1945
90S.24S,-16,1946
90S.24S,-13,1947
90S.24S,-20,1948
90S.24S,-19,1949
90S.24S,-14,1950
90S.24S,-22,1951
90S.24S,-7,1952
90S.24S,-14,1953
90S.24S,-14,1954
90S.24S,-7,1955
90S.24S,1,1956
90S.24S,-1,1957
90S.24S,-17,1958
90S.24S,-13,1959
90S.24S,-20,1960
90S.24S,4,1961
90S.24S,-13,1962
90S.24S,-12,1963
90S.24S,-26,1964
90S.24S,-12,1965
90S.24S,-16,1966
90S.24S,-2,1967
90S.24S,-8,1968
90S.24S,4,1969
90S.24S,11,1970
90S.24S,9,1971
90S.24S,16,1972
90S.24S,14,1973
90S.24S,17,1974
90S.24S,12,1975
90S.24S,2,1976
90S.24S,25,1977
90S.24S,15,1978
90S.24S,25,1979
90S.24S,46,1980
90S.24S,35,1981
90S.24S,14,1982
90S.24S,20,1983
90S.24S,25,1984
90S.24S,29,1985
90S.24S,21,1986
90S.24S,27,1987
90S.24S,42,1988
90S.24S,33,1989
90S.24S,35,1990
90S.24S,43,1991
90S.24S,28,1992
90S.24S,23,1993
90S.24S,21,1994
90S.24S,23,1995
90S.24S,45,1996
90S.24S,34,1997
90S.24S,36,1998
90S.24S,32,1999
90S.24S,33,2000
90S.24S,44,2001
90S.24S,48,2002
90S.24S,41,2003
90S.24S,32,2004
90S.24S,45,2005
90S.24S,40,2006
90S.24S,48,2007
90S.24S,40,2008
90S.24S,51,2009
90S.24S,48,2010
90S.24S,58,2011
90S.24S,44,2012
90S.24S,54,2013
90S.24S,54,2014
64N.90N,-89,1880
64N.90N,-54,1881
64N.90N,-125,1882
64N.90N,-28,1883
64N.90N,-127,1884
64N.90N,-119,1885
64N.90N,-124,1886
64N.90N,-158,1887
64N.90N,-141,1888
64N.90N,-82,1889
64N.90N,-127,1890
64N.90N,-118,1891
64N.90N,-119,1892
64N.90N,-76,1893
64N.90N,-121,1894
64N.90N,-86,1895
64N.90N,-113,1896
64N.90N,-73,1897
64N.90N,-121,1898
64N.90N,-99,1899
64N.90N,-50,1900
64N.90N,-41,1901
64N.90N,-145,1902
64N.90N,-37,1903
64N.90N,-23,1904
64N.90N,-12,1905
64N.90N,-29,1906
64N.90N,-68,1907
64N.90N,-39,1908
64N.90N,-72,1909
64N.90N,-62,1910
64N.90N,-24,1911
64N.90N,-60,1912
64N.90N,-51,1913
64N.90N,-50,1914
64N.90N,-50,1915
64N.90N,-25,1916
64N.90N,-64,1917
64N.90N,-108,1918
64N.90N,-80,1919
64N.90N,13,1920
64N.90N,5,1921
64N.90N,-22,1922
64N.90N,29,1923
64N.90N,38,1924
64N.90N,-4,1925
64N.90N,52,1926
64N.90N,-4,1927
64N.90N,59,1928
64N.90N,1,1929
64N.90N,48,1930
64N.90N,48,1931
64N.90N,25,1932
64N.90N,-29,1933
64N.90N,74,1934
64N.90N,22,1935
64N.90N,24,1936
64N.90N,108,1937
64N.90N,123,1938
64N.90N,51,1939
64N.90N,88,1940
64N.90N,-21,1941
64N.90N,36,1942
64N.90N,118,1943
64N.90N,103,1944
64N.90N,45,1945
64N.90N,-15,1946
64N.90N,100,1947
64N.90N,8,1948
64N.90N,22,1949
64N.90N,4,1950
64N.90N,1,1951
64N.90N,10,1952
64N.90N,81,1953
64N.90N,58,1954
64N.90N,-43,1955
64N.90N,-21,1956
64N.90N,3,1957
64N.90N,-15,1958
64N.90N,50,1959
64N.90N,35,1960
64N.90N,-18,1961
64N.90N,58,1962
64N.90N,-5,1963
64N.90N,-67,1964
64N.90N,-20,1965
64N.90N,-67,1966
64N.90N,43,1967
64N.90N,-17,1968
64N.90N,5,1969
64N.90N,-17,1970
64N.90N,-6,1971
64N.90N,-45,1972
64N.90N,20,1973
